CHAMPION	DIFFICULTY	WHAT TO DO	
Aatrox	Medium	Lethal Tempo Runes and Build. Ignite+flash. Longsword refillable potion start. Aatrox matchup is about setting up really good allins to take advantage of our superior sustained damage. Against Aatrox if you dont have to leash (or if you leash and Aatrox doesn't shove) we can look to get level 2 advantage and take a strong trade while he is still level 1. We also can trade hard level 1 with just a little bit of fury, try to avoid his 3rd q damage Aatrox has really good trades and healing but if we can kill him in a single all in that is how we win.  Tryndamere is stronger in the early levels then Aatrox especially in the allin. Try to set up your minion wave so that you are closer to your turret so you have plenty of room to allin the Aatrox, if Aatrox is close by his turret he can take short trades and disengage to his turret easily. If Aatrox gets really far ahead, look to farm up and outscale with 40%cdr and 100% crit, if you guys are roughly even in gold you should win. If Aatrox rushes something like a deaths dance or if they have other healing on their team (soraka,vlad etc) then you should build an exectutioners after your essence reaver.	
Ahri	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Ahri has strong poke, but you can outsustain her mana pool. If you dodge her charm pre-6 you can look to trade. If you trade with her charm up look to dodge it (spin in and then juke to the side). Dueling Ahri in mid-late game while her ult is up is next to impossible unless she is really far behind. Can look to spin in and burn her ult and then back out if you think you can do it without having to use your own ult to get pressure on her. If Ahri is running the glacial augment build with twin shadows and GLP what you need to do if you are forced to split against her is shove her in to her turret and out rotate her while she is killing the minions.	
Akali	Hard	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Early game against Akali you want to mostly look to farm, if you have an opportunity to trade with high fury/hp level one, that is probably your only chance for a solo kill in this matchup. Akali has very strong short trades and it is very hard to all in against an Akali because of her shroud and her shuriken flip. This matchup is a farm matchup, can look for small trades with akali once you get tiamat and potentially out sustain her for an allin. Akali can make it hard to full on all in, the matchup is all about taking effective short trades and outsustaining her. In side lanes when you are splitting be careful of akali in the mid-game look to split/fight away from her. Most of the time you will look to shove in waves and then get neutral camps or rotate and flank the enemy team while akali has to deal with your wave that you just shoved.	
Alistar	INTeresting	Lethal Tempo runes and Build. Ignite + Flash. Dorans shield start. If you are actually against an Alistar top, your sustain advantage with this setup is very beneficial. Alistar doesn't have the mana pool or sustain to take short trades against you and he also cannot all in. Be very careful of being pulverized into a headbutt into turret if your wave is close to his turret. Once you get tiamat just shove him in over and over and ignore his damage and hit plates. Something else you can do is push in the lane and roam mid or help your jungler invade, Alistar will have a hard time farming under turret and will unlikely be able to help.	
Amumu	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Amumu is weak in the top lane especially early. You can force all in trades even from level 1 with little fury with the lethal tempo activation. The one thing you have to be careful of in this matchup is that Amumu's e (his tantrum) gets the cooldown reset by 1 second for every auto he takes (even from minions!) so if he fights you in your creep wave, he can get multiple tantrums off in an all in. Besides that, look to crush him early and if he is the one responding to your splitpush later in the game and you think he is too tanky to dive, he is a very immobile champion so you can outrotate him on the split push.	
Anivia	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Anivia is a very annoying champion to lane against. It is really hard to force an all in on her because of her crowd control with her Q, her wall, and her ultimate. The way to beat anivia is by punishing her with your health sustain, getting perfect farm, pushing anivia in forcing her to use mana. There can be spots to all in an anivia, but first you must get some good short trades into her where you force resources out of her. A good time to trade in this matchup is if she uses her q to farm and she is far up in lane where you can punish the Q cooldown, or once you get tiamat you can force her to use mana to disengage after you spin into her and then you back off and sustain. WARNING! Do not get baited by her egg, her egg is a 4 minute cooldown. If you are forced to split against Anivia and you aren't in a position to dive/force trades against her, then shove the wave into her and outrotate her. Anivia is a very immobile champion and won't be able to easily follow your rotation.	
Annie	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. To win against annie top, you need to look to farm taking as little damage as possible. Use your sustain from the runes setup to help you get through her early poke. Annie has VERY weak base stats so if she doesn't poke you hard enough and you have a good amount of HP/Fury to trade with (assuming she doesnt have an enormous wave) then you look to do a heavy trade/allin against her. Later in the game, you do outscale Annie in a 1v1 situation however, be very careful with her burst and make sure to not miss your ultimate. If the enemy team has multiple forms of crowd control besides Annie feel free to build merc treads. Otherwise situationally if winning the game is reliant on you 1v1ing Annie, then buy qss to guarantee your all in.	
Aphelios	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start.	
Ashe	INTeresting	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. If you are playing against Ashe top, be very careful with early game. Ashe good range and good poke and decent kiting with her passive that slows you. Once you get 6 however, she cannot stop your allin against her and you basically just run her down. Just like most adc's top, its all about knowing how to take as little damage as possible early game and getting good farm under turret. If Ashe is holding you solo in the mid-late game look to dive her. Ashe doesn't have the tools to stop you 1v1 in the mid-late game.	
Aurelion Sol	Easy	Lethal Tempo Runes and Build. Ghost + Flash. Long sword refillable potion start. If you are playing against aurelion sol in the top lane, then you can look for all in trades if the wave is ever on your side of the lane. While fighting against Aurelion Sol, make sure that you are moving in between your auto attacks so that you don't get hit by his stars. A good way to easily win against this kind of matchup is by manipulating the wave to enable you to use the length of the lane to punish him. When dueling an Aurelion Sol on the splitpush in the mid-late game, their combo is going to be a q+R to disengage you, however if they didnt burst your hp bar and force you to ult you should be able to all in when your spin comes back up. If you are against Aurelion sol as midlane Tryndamere then use Fleet Footwork Runes and Build with Ignite + Flash and dorans shield start. When you are playing midlane you don't have as much room to all in your opponent which is why lethal tempo isnt as good.	
Azir	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Against Azir it is mostly a farm matchup. Azir has strong poke, good scaling, and good disengage. However, early on you can outsustain his mana pool if he is using his spells to harass you or get away from you. Your sustain with fleet + second wind + revitalize is really strong. After tiamat, you have solid short trades (Spin + auto + tiamat + another auto if he didnt already disengage with his E) and can shove in and farm effectively. You will have options to roam mid or help your jungler invade after shoving waves with tiamat which can net you advantages if the azir is playing safe. When diving an azir, if you are forced to spin in on him and he ultis immediately, you can back off the dive sustain back up, then redive with the ultimate advantage (assuming he didnt burn it already with his ulti) OR if you spin on him and you are able to reset your spin before he ultis you away you can just spin over his wall and kill him. Mid-late game if you are splitting against an Azir and you cannot dive him, look to shove him in and outrotate him. Tryndamere has much better out of combat mobility to rotate in between lanes to potentially flank the enemy team.	
Bard	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Bard top matchup is all about getting good farm without taking too much poke damage. Bard's auto attacks are very strong, but we can look to sustain with our runes and dorans shield. Look to use the top lane bushes to hide your character while you are waiting for the minions to get low enough to kill. Be careful when all inning bard and he takes a portal that you don't get baited into it. Once you get tiamat, you can look for short 2-3 auto trades + spin damage, into an eventual allin with burst. IMPORTANT NOTE: YOU CANNOT ULT DURING BARD ULTI, so when he ultis you while you are low and it looks like he could kill with you burst right after the ult, be spamming your r key to get your ult off as quickly as possible.	
Blitzcrank	Easy	Lethal Tempo Runes and Build. Ghost + Flash or Ignite + Flash. Long sword refillable potion start. Blitzcrank in a solo lane does not have waveclear. If you wanted to opt into a tiamat with the lethal tempo runes this could heavily punish his lack of waveclear. Blitzcranks one way to try to win this lane is by hooking you into getting ganked, or hooking you into turret and knocking you up. Stay behind minions, focus on pushing rather then looking to kill him (unless he is really far up the lane) and beat him with a huge farm lead. Blitzcrank will have a hard time farming under turret.	
Brand	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Brand has a lot of damage and can kite you with his 1.5 second stun on his Q. The way you can beat Brand is by punishing his cooldowns by trading when he misses OR outsustaining his mana pool. If he runs low on mana to the point where he can't do his full combo you can look to all in or get a big trade atleast. Brand is immobile so if he is out of position or too far up the lane even with his strong combo of abilities we can still run him down the lane when overextended. A big part of the matchup is looking to dodge his abilities so make sure you keep your mouse cursor close to your champion so you can make small quick movements to move side to side. Also predicting when and where he will cast abilities can help you dodge his skillshots too. If you are up against brand in the mid-late game splitpush, you can look to dive him pretty easily. He has a hard time dealing with tryndamere 1v1 once the tryndamere has items.	
Braum	INTeresting	Lethal Tempo Runes and Build. Ignite + Flash or Ghost+Flash. Long sword refillable start. It might be hard to kill a Braum in the solo lane because of his disengage with his q slow, however he has no sustain (mana or hp) so you can use that against him to push him out of lane. Braum's biggest strength is the ability to set up ganks with his Crowd Control, but mostly this should be a very easy matchup. If you are splitting against Braum in the mid-late game and he is too tanky to dive, then just ignore him and hit turret or out rotate him with your superior mobility.	
Caitlyn	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Make sure to use the brushes to hide your champion while you wait for minions to get low to avoid damage while farming in the early game. Early game ADC's can poke Tryndamere really hard, and Tryndamere will not have the damage to out trade them early on without getting poked out. Post 6 this matchup becomes extremely easy and you should be able to 1v1 basically anytime post 6. Before 6, just look to farm and avoid taking unneccessary damage. Your runes + dorans shield will provide a really good amount of sustain but remember its ok to give up some farm as long as you get the experience for it. In the mid-late game if you are splitting against caitlyn, you should be able to kill her pretty easily just remember that while she is running away she could turn back and face you when she casts her E, so be careful when deciding to use W slow.	
Camille	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Early trades against camille can be pretty brutal with her passive that gives her a physical shield on auto attack with a 16 second cooldown. The way to win early in this matchup is by kiting camille out when she procs her shield early (even try to bait it out) then trade after the shield expires. You can beat camille with your sustain advantage with your fleet + dorans shield healing + Q. The way you kill camille is by finding an opportunity to all in her without her being able to disengage (for example she e's into you but u end up in between her and her escape path) . If camille hookshots into you and commits too hard then you can look for an allin then OR if camille hookshots into you and misses that is a great allin opportunity as well. Otherwise you can potentially win by taking short trades with camille as well but having the sustain advantage with your Q. Diving camille can be an optimal spot for an allin, so you can start with an auto attack and save your spin for when she disengages with e, just be careful when you use your w that she is facing away from you (her w towards you will make her face towards you.) Splitting against camille in the mid can be difficult as she has a very strong spike with trinity force and can go into steraks to be tanky as well. 5-6 item tryndamere CAN (if camille isnt playing perfectly) outscale camille in the 1v1.	
Cassiopeia	Hard	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Cassiopeia especially with phase rush can be a huge bully to Tryndamere in the top lane and can also deal huge damage in a short period of time however she does have a set of weaknesses that allow a melee character like tryndamere to kill her. First punish point for Cass is that she will have mana issues before her first back, if you are able to dodge enough of her q's in lane or you take a big trade with her she expends her mana and does not kill you and you sustain back up, you can find an opportunity to fight her. With the buffed nimbus cloak for season 10, you have 2 ways to proc nimbus cloak pre 6 that werent available before. Ignite + flash. This is a huge change from season 9 where you couldnt get nimbus cloak activations until 6 and even then it was only at the last second when you ulted. Another kill point in the matchup vs Cass if she takes phase rush is to find a spot to all in her if she wastes her phase rush activation. Phase rush has a 15 second cooldown that you can punish. Post level 6, Cass can stun you with her ultimate as a means of disengage however if you turn your back to her during her cast animation you will be slowed instead which can sometimes get you a kill (must have good reaction time.) If you fall behind against Cass look to farm as best as possible and soak exp, keep yourself high enough hp where you can help your jungler kill her if he decides to gank. 	
Cho' Gath	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Cho'gath has high sustain and a 7 second crowd control knockup in a circle aoe. His knockup is fairly easy to dodge if you are looking for his cast animation on it, and Cho'gath is immobile (no dashes or bursts of movement speed) so if you can dodge his Q you can get really solid trades on him. Early game look to build up fury without taking too much damage from his E (his empowered auto attacks) then look to trade. Force an extended trade, by starting off trades with an auto attack when he goes for a minion that way you can save your spin to dodge his Q or to stick on top of him when he walks away (position your spin in between Cho'gath and his escape path which will usually be his turret) In the mid-late game, Cho'gath will be extremely difficult to dive, but you can beat him if he is far up in lane with an effective all in OR you can shove Cho'gath in and outrotate him with your superior mobility. Cho'gath's ult is EXTREMELY high burst so make sure if you fall into his ultimate execution range that you press R a little bit early.	
Corki	Easy	Fleet Footwork Runes and Build. Ghost+ Flash. Dorans shield start. Corki is ranged so he has some decent poke early, but not enough where tryndamere's sustain can't handle it. Corki has no crowd control and not very good disengage so when you get pretty much just one item you start beating him really hard in allins. Be sure to pay attention when Corki backs for package so that you can either pressure when he roams or follow him up on his roam. When Corki uses package it does not put his w (his dash) on cooldown so he can dash twice. Be careful with your w slow because corki will face you when he shoots his rockets (or q) so usually time your w to cast it when he rockets +autos you then turns around to kite away. Corki can't handle tryndamere 1v1 in the mid-late game.	
Darius	Hard	Lethal Tempo Runes and Build. Ignite + Flash OR Ghost + Flash. Dorans Shield start. Darius has very strong all in trades and his passive when stacked 5 times (stacks every auto attack and when he hits his q on the outer edge and his ultimate) gives him a lot of attack damage and does damage over time to you. Darius can use multiple keystones, starting items, and starting abilities. Darius with Q start is strong for early clear to get level 2 first, Darius with W start will look to take trades with you when you walk up for minions. Biggest thing to pay attention is they keystone + summoner spells. Ghost+Flash darius with conqueror has extremely good all in and if you are caught too far in the lane with a pull he can usually burn your summoners and then kill you as well. If this darius pulls you at a bad time for you, your best hope is to turn on him and all in and pray for crits. TP + Flash Darius with aftershock can be abused early if you take ignite, whether he starts q or w is irrelevant because your allin can be stronger then his so look to build fury and get level 2 first and all in him. Ignite + Flash darius with conqueror you basically just let him push you in and only farm don't trade. This is the strongest early game setup on darius to punish early but it falls off later since he can't kite you as well without ghost. The darius matchup in general is a lot about punishing cooldowns on his q and finding spots to take short trades with an auto attack + spin out without being forced into an all in by being pulled. Tryndamere does outscale this matchup in the mid-late game 1v1, but can be hard to dive him 100-0 so if you find yourself in that situation where he is just sitting under turret, then push him in and look for opportunities to outrotate him with your superior out of combat mobility and flank his team.	
Diana	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Diana's third auto attack in a short period of time deals extra damage, splashes, and gives her bonus attack speed. So pay attention when her blade lights up (signalling that her empowered auto from her passive is ready) so that you can avoid the splash damage. Diana is mostly immobile so you can run her down the lane for an all in which you will win assuming you have a good amount of fury/hp. You counter diana's burst with your ultimate post 6, A good diana will try to burst you of your ultimate and then use her dash on a minion to kite you out so the best thing you can do is force her to commit all of her abilities into you to burn your ultimate. Dueling against Diana in the mid game is pretty easy as long as you dont miss your ultimate. Dueling her in the late game when she has the power to one shot you with items and then zhonya can make it pretty difficult on you. If your win condition is beating a 5-6 item Diana in the splitpush in the late game, then you might have to build an Magic resist item (I have sometimes built spirit visage, or maw) but a lot of the time you can get away with lifesteal from a deaths dance.	
Dr. Mundo	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Mundo is very good at farming from range and staying safe, but if he ever walks up to auto attack minions for farm you can look for trades. Early game mundo has strong short trades but struggles really hard against opponent's that can force an extended trade with him. Best opportunities to trade with mundo is after you have a good amount of fury/hp and you start off the trade with an auto attack on him that way you can save your spin for when he tries to disengage with his cleaver. If Mundo is just playing really far back and safe, you can look to punish this by freezing the wave so he gets denied some farm (his q is on a 4 second cooldown so he cant get every minion.) Also while you are freezing you can position your character forward to the side of your minion wave so if he q's a minion you can look to spin on him. In the mid-late game it can be difficult to dive a mundo so you typically want to catch him out away from his turret, or shove him in and out rotate him with your superior mobility.	
Draven	Hard	Fleet Footwork Runes and Build. Ignite + Flash. Cloth 4 potions start. Draven top's lane laning phase is super greedy (can get ganked easily) but can also be super punishing for a melee top laner like Tryndamere. Draven has VERY good early damage and can put a lot of pressure on. Look to avoid damage and get farm only when you won't take too much damage for it. Remember experience is worth much more then farm. If you greed for too many minions and get pushed out of lane and fall behind in levels it can be hard to catch back up, but if you stay even in levels and fall heavy in farm you can outscale him later. Usually you need tiamat + zerkers to stand a chance against him in a 1v1 all in just because of his disengage with his E. Once you get 2 items or more though you will win the 1v1 for the rest of the game.	
Ekko	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Ekko matchup is mostly a farm matchup because of how easily he can clear waves from range as well as his ability to kite with his passive. The way to beat ekko is to force small trades as he waveclears and then outsustain him so that you can burst him down with ignite once he falls to low hp. Ekko in the mid-late game can be pretty tough on the splitpush especially if he gets ahead, consider getting a Magic resist item if your win condition is winning the 1v1 against him when you are both 5-6 items. Either a maw of malmortius or even a spirit visage would do wonders against him. Ignite before he uses his ultimate if you have it available that way you can cut down on his healing that he gets from his ultimate.	
